Fold,Epoch,Average Loss,Mean Dice Score
1,1,0.40034476032963506,0.020570460706949234
1,2,0.3592615955405765,0.010932376608252525
1,3,0.3319010149549555,0.10898666828870773
1,4,0.3177974963629687,0.23670727014541626
1,5,0.3047494507498211,0.05276013910770416
1,6,0.2955060104529063,0.20325224101543427
1,7,0.30521466500229305,0.26379191875457764
1,8,0.31316952296981104,0.15023966133594513
1,9,0.29945394589945123,0.231033056974411
1,10,0.2815317870290191,0.2428511530160904
1,11,0.2816302467275549,0.24546903371810913
1,12,0.2689426905579037,0.24915215373039246
1,13,0.2736478127815105,0.2528298795223236
1,14,0.2778629633011641,0.2548554241657257
1,15,0.261453570039184,0.2696114182472229
1,16,0.2756837965161712,0.2804708182811737
1,17,0.284980947220767,0.26696866750717163
1,18,0.26848120987415314,0.2711545526981354
1,19,0.2771183384789361,0.2705448865890503
1,20,0.2842676313938918,0.2861083745956421
2,1,0.2954445663425658,0.034110765904188156
2,2,0.2864769746859868,0.11596819013357162
2,3,0.2871333294444614,0.2059163749217987
2,4,0.27799766924646163,0.07358423620462418
2,5,0.27549720252001725,0.2587224245071411
2,6,0.27097247265003344,0.23128503561019897
2,7,0.27264588353810487,0.2236970067024231
2,8,0.2730573851753164,0.32281696796417236
2,9,0.2714909546905094,0.2796817123889923
2,10,0.2808227279671916,0.3276563286781311
2,11,0.2618057788522155,0.28973206877708435
2,12,0.26707530794320283,0.3017042875289917
2,13,0.2592829692142981,0.3200579881668091
2,14,0.25588037073612213,0.3204241693019867
2,15,0.2521788384075518,0.33529916405677795
2,16,0.2613904956314299,0.30686619877815247
2,17,0.2600358531430916,0.3150535523891449
2,18,0.2576269579154474,0.31676262617111206
2,19,0.2553824175287176,0.3166793882846832
2,20,0.24503560971330712,0.3243214786052704
3,1,0.2748580241092929,0.029160456731915474
3,2,0.2808255051021223,0.2183486819267273
3,3,0.27089411903310706,0.166392520070076
3,4,0.2649783894971565,0.27400636672973633
3,5,0.2563751610340895,0.18962782621383667
3,6,0.27790249828939084,0.2298823446035385
3,7,0.28262890102686705,0.12266315519809723
3,8,0.2661481002966563,0.2074543684720993
3,9,0.28438175110905256,0.25142738223075867
3,10,0.2669779608647029,0.22875186800956726
3,11,0.26188672416739994,0.29637402296066284
3,12,0.2608804437849257,0.3125518262386322
3,13,0.2621488074461619,0.3461025655269623
3,14,0.256965234875679,0.323782354593277
3,15,0.2532366591471213,0.330676406621933
3,16,0.2641555203331841,0.3195909261703491
3,17,0.27065727169866916,0.3237747550010681
3,18,0.26210631154201647,0.33531972765922546
3,19,0.2629099615194179,0.3263586461544037
3,20,0.26085132857163745,0.321249395608902
4,1,0.2712870499602071,0.2783939838409424
4,2,0.266469273854185,0.3105384111404419
4,3,0.28301800235554025,0.31861940026283264
4,4,0.2692224008065683,0.24828046560287476
4,5,0.2826664133204354,0.3620895445346832
4,6,0.264722008396078,0.18140536546707153
4,7,0.25798003375530243,0.3135075271129608
4,8,0.2754292416351813,0.31275659799575806
4,9,0.27205849356121486,0.2983129024505615
4,10,0.2490609266139843,0.30034780502319336
4,11,0.2465750558508767,0.31788116693496704
4,12,0.2678961295772482,0.30869564414024353
4,13,0.27346813513172996,0.3473186492919922
4,14,0.2792834049021756,0.3531811833381653
4,15,0.26458119849363965,0.3451023995876312
4,16,0.2510431044631534,0.3647889196872711
4,17,0.24464897204328467,0.35768869519233704
4,18,0.2559061215983497,0.40051785111427307
4,19,0.2451729487489771,0.39177846908569336
4,20,0.24780033804752208,0.3743220567703247
5,1,0.2494625432623757,0.23168277740478516
5,2,0.25449968432938613,0.21601904928684235
5,3,0.26634385574747016,0.3630596995353699
5,4,0.2544777614099008,0.3476816713809967
5,5,0.2562883049249649,0.2700590491294861
5,6,0.2663098137687754,0.2949460744857788
5,7,0.24298389145621546,0.24920351803302765
5,8,0.25001730493925234,0.4460931420326233
5,9,0.23881535894340938,0.38365715742111206
5,10,0.25023140013217926,0.43167147040367126
5,11,0.2576392050142641,0.48509570956230164
5,12,0.2468763049002047,0.40753185749053955
5,13,0.23975097139676413,0.40688931941986084
5,14,0.2378488723878507,0.46501481533050537
5,15,0.2411211199230618,0.4601115584373474
5,16,0.266788304955871,0.45072057843208313
5,17,0.24335527861559833,0.48693206906318665
5,18,0.24805359100853955,0.4459174573421478
5,19,0.26614383856455487,0.46431583166122437
5,20,0.2334535582749932,0.44879353046417236
