Fold,Epoch,Average Loss,Mean Dice Score
1,1,0.24661704345985694,0.41313475370407104
1,2,0.23128140027876254,0.5096381306648254
1,3,0.24529948665036094,0.4455192983150482
1,4,0.2470737287291774,0.391131728887558
1,5,0.2144653512923806,0.4509831666946411
1,6,0.2293394202435458,0.4779701232910156
1,7,0.2297199567159017,0.42609554529190063
1,8,0.23475069083549358,0.4509977698326111
1,9,0.2407454953149513,0.46932452917099
1,10,0.2412566136982706,0.4303073287010193
1,11,0.2557202505844611,0.4720522463321686
1,12,0.24624212582906088,0.45371320843696594
1,13,0.24261468869668465,0.47888386249542236
1,14,0.23731382770670784,0.4768291115760803
1,15,0.2260609252585305,0.49358952045440674
1,16,0.2475124098084591,0.4902402460575104
1,17,0.24055265221330854,0.4516564905643463
1,18,0.23470412029160392,0.47237110137939453
1,19,0.2582494495091615,0.4806115925312042
1,20,0.23652126005402319,0.4720792770385742
2,1,0.24838177363077799,0.4833832383155823
2,2,0.24395359887017143,0.4854939877986908
2,3,0.21677913240812444,0.4931492209434509
2,4,0.24318915771113503,0.468658983707428
2,5,0.23955930024385452,0.4831150770187378
2,6,0.24454883016921855,0.46802228689193726
2,7,0.25616864915247317,0.4936469793319702
2,8,0.22725608061861108,0.4931756556034088
2,9,0.24408203528987038,0.4616928696632385
2,10,0.25961798043162737,0.46840742230415344
2,11,0.23706193599436018,0.5112543106079102
2,12,0.24268267772815846,0.41705799102783203
2,13,0.23411088988736825,0.45915043354034424
2,14,0.24099735336171257,0.4835709035396576
2,15,0.2473657605824647,0.45869842171669006
2,16,0.23020498344191798,0.48033687472343445
2,17,0.22909023916279828,0.40936195850372314
2,18,0.22967055715896464,0.46274396777153015
2,19,0.24218518811243553,0.4810107946395874
2,20,0.24596458397529744,0.4748882055282593
3,1,0.2272729354876059,0.47418227791786194
3,2,0.24989992766468613,0.49833953380584717
3,3,0.250571577085389,0.48360443115234375
3,4,0.23857610755496556,0.4670342206954956
3,5,0.2458411250953321,0.47007614374160767
3,6,0.248944408915661,0.45385879278182983
3,7,0.22740076040780102,0.46176570653915405
3,8,0.23700174137398047,0.4543067514896393
3,9,0.250577285333916,0.4778221845626831
3,10,0.22603367931312984,0.5140570998191833
3,11,0.23593634477368108,0.4968738555908203
3,12,0.2408814949017984,0.4466150999069214
3,13,0.24565983618851062,0.4778174161911011
3,14,0.23080812725755903,0.4271310269832611
3,15,0.22882595741086537,0.3985190987586975
3,16,0.2342911031511095,0.2953609228134155
3,17,0.2469896056033947,0.4984704256057739
3,18,0.23348243037859598,0.4088340997695923
3,19,0.22886848780843946,0.4937485456466675
3,20,0.25258186901057206,0.47676828503608704
4,1,0.23875113549055876,0.20386268198490143
4,2,0.2565659268034829,0.48139041662216187
4,3,0.22147271009507002,0.4901103973388672
4,4,0.23416057173852567,0.4602258503437042
4,5,0.2435644186205334,0.48209890723228455
4,6,0.23131573255415316,0.17719733715057373
4,7,0.24695289742063592,0.4828013777732849
4,8,0.24290301816331017,0.45493772625923157
4,9,0.2406362306188654,0.4918675422668457
4,10,0.23923450708389282,0.447812557220459
4,11,0.23896272839219482,0.48626360297203064
4,12,0.2397464022592262,0.48027503490448
4,13,0.22750672422073506,0.4673394560813904
4,14,0.21722189419799381,0.5023791790008545
4,15,0.21434810978394966,0.4979395866394043
4,16,0.23998646658879738,0.5012104511260986
4,17,0.23658804871417857,0.49186965823173523
4,18,0.2274736257063018,0.49775823950767517
4,19,0.22254612048467,0.4860854148864746
4,20,0.22116733756330278,0.48650482296943665
5,1,0.24024105541132115,0.529127836227417
5,2,0.2349092118718006,0.5447444319725037
5,3,0.24098703099621666,0.1821412444114685
5,4,0.22973512444231245,0.514007031917572
5,5,0.24424424077625628,0.5175454616546631
5,6,0.23364549488932998,0.53895503282547
5,7,0.25319601871349195,0.4418368339538574
5,8,0.2486598022558071,0.47378242015838623
5,9,0.21978531971021933,0.4201321601867676
5,10,0.21865090010342775,0.4175858497619629
5,11,0.2331021985522023,0.3717711865901947
5,12,0.24909575504285317,0.4098537266254425
5,13,0.23685014634220689,0.3983955383300781
5,14,0.22618994144377885,0.44606393575668335
5,15,0.21338978740904066,0.41748470067977905
5,16,0.2362509579570205,0.39656734466552734
5,17,0.22942890916709546,0.42891204357147217
5,18,0.21095131558400612,0.4249287247657776
5,19,0.23005833090455444,0.4338211417198181
5,20,0.23310641999597903,0.4035540819168091
